,annotations
2069,"(array([[74]], dtype=uint8), array([[38]], dtype=uint8), array([[375]], dtype=uint16), array([[289]], dtype=uint16), array([[95]], dtype=uint8), array(['02070.jpg'], dtype='<U9'))"
2070,"(array([[21]], dtype=uint8), array([[2]], dtype=uint8), array([[233]], dtype=uint8), array([[100]], dtype=uint8), array([[127]], dtype=uint8), array(['02071.jpg'], dtype='<U9'))"
2071,"(array([[250]], dtype=uint8), array([[205]], dtype=uint8), array([[1092]], dtype=uint16), array([[759]], dtype=uint16), array([[145]], dtype=uint8), array(['02072.jpg'], dtype='<U9'))"
2072,"(array([[122]], dtype=uint8), array([[176]], dtype=uint8), array([[929]], dtype=uint16), array([[611]], dtype=uint16), array([[160]], dtype=uint8), array(['02073.jpg'], dtype='<U9'))"
2073,"(array([[18]], dtype=uint8), array([[67]], dtype=uint8), array([[496]], dtype=uint16), array([[342]], dtype=uint16), array([[86]], dtype=uint8), array(['02074.jpg'], dtype='<U9'))"
2074,"(array([[9]], dtype=uint8), array([[16]], dtype=uint8), array([[294]], dtype=uint16), array([[156]], dtype=uint8), array([[77]], dtype=uint8), array(['02075.jpg'], dtype='<U9'))"
2075,"(array([[17]], dtype=uint8), array([[69]], dtype=uint8), array([[247]], dtype=uint8), array([[157]], dtype=uint8), array([[161]], dtype=uint8), array(['02076.jpg'], dtype='<U9'))"
2076,"(array([[2]], dtype=uint8), array([[78]], dtype=uint8), array([[478]], dtype=uint16), array([[249]], dtype=uint8), array([[77]], dtype=uint8), array(['02077.jpg'], dtype='<U9'))"
2077,"(array([[82]], dtype=uint8), array([[307]], dtype=uint16), array([[1369]], dtype=uint16), array([[1036]], dtype=uint16), array([[96]], dtype=uint8), array(['02078.jpg'], dtype='<U9'))"
2078,"(array([[45]], dtype=uint8), array([[181]], dtype=uint8), array([[2582]], dtype=uint16), array([[1848]], dtype=uint16), array([[75]], dtype=uint8), array(['02079.jpg'], dtype='<U9'))"
2079,"(array([[128]], dtype=uint8), array([[30]], dtype=uint8), array([[855]], dtype=uint16), array([[596]], dtype=uint16), array([[133]], dtype=uint8), array(['02080.jpg'], dtype='<U9'))"
2080,"(array([[37]], dtype=uint8), array([[61]], dtype=uint8), array([[756]], dtype=uint16), array([[504]], dtype=uint16), array([[32]], dtype=uint8), array(['02081.jpg'], dtype='<U9'))"
2081,"(array([[205]], dtype=uint8), array([[77]], dtype=uint8), array([[595]], dtype=uint16), array([[295]], dtype=uint16), array([[58]], dtype=uint8), array(['02082.jpg'], dtype='<U9'))"
2082,"(array([[51]], dtype=uint8), array([[116]], dtype=uint8), array([[630]], dtype=uint16), array([[371]], dtype=uint16), array([[152]], dtype=uint8), array(['02083.jpg'], dtype='<U9'))"
2083,"(array([[328]], dtype=uint16), array([[260]], dtype=uint16), array([[1610]], dtype=uint16), array([[935]], dtype=uint16), array([[151]], dtype=uint8), array(['02084.jpg'], dtype='<U9'))"
2084,"(array([[13]], dtype=uint8), array([[40]], dtype=uint8), array([[257]], dtype=uint16), array([[143]], dtype=uint8), array([[116]], dtype=uint8), array(['02085.jpg'], dtype='<U9'))"
2085,"(array([[51]], dtype=uint8), array([[68]], dtype=uint8), array([[595]], dtype=uint16), array([[381]], dtype=uint16), array([[192]], dtype=uint8), array(['02086.jpg'], dtype='<U9'))"
2086,"(array([[19]], dtype=uint8), array([[533]], dtype=uint16), array([[3220]], dtype=uint16), array([[1953]], dtype=uint16), array([[30]], dtype=uint8), array(['02087.jpg'], dtype='<U9'))"
2087,"(array([[2]], dtype=uint8), array([[2]], dtype=uint8), array([[300]], dtype=uint16), array([[208]], dtype=uint8), array([[118]], dtype=uint8), array(['02088.jpg'], dtype='<U9'))"
2088,"(array([[19]], dtype=uint8), array([[64]], dtype=uint8), array([[471]], dtype=uint16), array([[259]], dtype=uint16), array([[123]], dtype=uint8), array(['02089.jpg'], dtype='<U9'))"
2089,"(array([[42]], dtype=uint8), array([[79]], dtype=uint8), array([[613]], dtype=uint16), array([[480]], dtype=uint16), array([[154]], dtype=uint8), array(['02090.jpg'], dtype='<U9'))"
2090,"(array([[15]], dtype=uint8), array([[93]], dtype=uint8), array([[632]], dtype=uint16), array([[373]], dtype=uint16), array([[72]], dtype=uint8), array(['02091.jpg'], dtype='<U9'))"
2091,"(array([[31]], dtype=uint8), array([[9]], dtype=uint8), array([[435]], dtype=uint16), array([[244]], dtype=uint8), array([[184]], dtype=uint8), array(['02092.jpg'], dtype='<U9'))"
2092,"(array([[19]], dtype=uint8), array([[91]], dtype=uint8), array([[482]], dtype=uint16), array([[311]], dtype=uint16), array([[113]], dtype=uint8), array(['02093.jpg'], dtype='<U9'))"
2093,"(array([[89]], dtype=uint8), array([[43]], dtype=uint8), array([[542]], dtype=uint16), array([[339]], dtype=uint16), array([[146]], dtype=uint8), array(['02094.jpg'], dtype='<U9'))"
2094,"(array([[90]], dtype=uint8), array([[189]], dtype=uint8), array([[1495]], dtype=uint16), array([[820]], dtype=uint16), array([[6]], dtype=uint8), array(['02095.jpg'], dtype='<U9'))"
2095,"(array([[33]], dtype=uint8), array([[156]], dtype=uint8), array([[736]], dtype=uint16), array([[524]], dtype=uint16), array([[44]], dtype=uint8), array(['02096.jpg'], dtype='<U9'))"
2096,"(array([[18]], dtype=uint8), array([[1]], dtype=uint8), array([[999]], dtype=uint16), array([[507]], dtype=uint16), array([[75]], dtype=uint8), array(['02097.jpg'], dtype='<U9'))"
2097,"(array([[15]], dtype=uint8), array([[17]], dtype=uint8), array([[636]], dtype=uint16), array([[440]], dtype=uint16), array([[58]], dtype=uint8), array(['02098.jpg'], dtype='<U9'))"
2098,"(array([[14]], dtype=uint8), array([[31]], dtype=uint8), array([[272]], dtype=uint16), array([[198]], dtype=uint8), array([[65]], dtype=uint8), array(['02099.jpg'], dtype='<U9'))"
2099,"(array([[66]], dtype=uint8), array([[64]], dtype=uint8), array([[598]], dtype=uint16), array([[385]], dtype=uint16), array([[89]], dtype=uint8), array(['02100.jpg'], dtype='<U9'))"
2100,"(array([[17]], dtype=uint8), array([[39]], dtype=uint8), array([[237]], dtype=uint8), array([[156]], dtype=uint8), array([[53]], dtype=uint8), array(['02101.jpg'], dtype='<U9'))"
2101,"(array([[20]], dtype=uint8), array([[23]], dtype=uint8), array([[274]], dtype=uint16), array([[196]], dtype=uint8), array([[174]], dtype=uint8), array(['02102.jpg'], dtype='<U9'))"
2102,"(array([[34]], dtype=uint8), array([[262]], dtype=uint16), array([[766]], dtype=uint16), array([[650]], dtype=uint16), array([[196]], dtype=uint8), array(['02103.jpg'], dtype='<U9'))"
2103,"(array([[25]], dtype=uint8), array([[215]], dtype=uint8), array([[625]], dtype=uint16), array([[411]], dtype=uint16), array([[173]], dtype=uint8), array(['02104.jpg'], dtype='<U9'))"
2104,"(array([[10]], dtype=uint8), array([[142]], dtype=uint8), array([[465]], dtype=uint16), array([[309]], dtype=uint16), array([[180]], dtype=uint8), array(['02105.jpg'], dtype='<U9'))"
2105,"(array([[129]], dtype=uint8), array([[94]], dtype=uint8), array([[502]], dtype=uint16), array([[382]], dtype=uint16), array([[76]], dtype=uint8), array(['02106.jpg'], dtype='<U9'))"
2106,"(array([[23]], dtype=uint8), array([[57]], dtype=uint8), array([[232]], dtype=uint8), array([[186]], dtype=uint8), array([[65]], dtype=uint8), array(['02107.jpg'], dtype='<U9'))"
2107,"(array([[53]], dtype=uint8), array([[122]], dtype=uint8), array([[993]], dtype=uint16), array([[553]], dtype=uint16), array([[147]], dtype=uint8), array(['02108.jpg'], dtype='<U9'))"
2108,"(array([[31]], dtype=uint8), array([[51]], dtype=uint8), array([[635]], dtype=uint16), array([[399]], dtype=uint16), array([[48]], dtype=uint8), array(['02109.jpg'], dtype='<U9'))"
2109,"(array([[116]], dtype=uint8), array([[141]], dtype=uint8), array([[535]], dtype=uint16), array([[367]], dtype=uint16), array([[96]], dtype=uint8), array(['02110.jpg'], dtype='<U9'))"
2110,"(array([[20]], dtype=uint8), array([[7]], dtype=uint8), array([[239]], dtype=uint8), array([[174]], dtype=uint8), array([[5]], dtype=uint8), array(['02111.jpg'], dtype='<U9'))"
2111,"(array([[95]], dtype=uint8), array([[84]], dtype=uint8), array([[612]], dtype=uint16), array([[391]], dtype=uint16), array([[114]], dtype=uint8), array(['02112.jpg'], dtype='<U9'))"
2112,"(array([[109]], dtype=uint8), array([[39]], dtype=uint8), array([[980]], dtype=uint16), array([[590]], dtype=uint16), array([[59]], dtype=uint8), array(['02113.jpg'], dtype='<U9'))"
2113,"(array([[9]], dtype=uint8), array([[37]], dtype=uint8), array([[651]], dtype=uint16), array([[477]], dtype=uint16), array([[23]], dtype=uint8), array(['02114.jpg'], dtype='<U9'))"
2114,"(array([[11]], dtype=uint8), array([[37]], dtype=uint8), array([[441]], dtype=uint16), array([[206]], dtype=uint8), array([[51]], dtype=uint8), array(['02115.jpg'], dtype='<U9'))"
2115,"(array([[26]], dtype=uint8), array([[66]], dtype=uint8), array([[379]], dtype=uint16), array([[258]], dtype=uint16), array([[30]], dtype=uint8), array(['02116.jpg'], dtype='<U9'))"
2116,"(array([[1]], dtype=uint8), array([[79]], dtype=uint8), array([[1918]], dtype=uint16), array([[1120]], dtype=uint16), array([[153]], dtype=uint8), array(['02117.jpg'], dtype='<U9'))"
2117,"(array([[509]], dtype=uint16), array([[458]], dtype=uint16), array([[1031]], dtype=uint16), array([[686]], dtype=uint16), array([[101]], dtype=uint8), array(['02118.jpg'], dtype='<U9'))"
2118,"(array([[44]], dtype=uint8), array([[162]], dtype=uint8), array([[605]], dtype=uint16), array([[360]], dtype=uint16), array([[115]], dtype=uint8), array(['02119.jpg'], dtype='<U9'))"
2119,"(array([[44]], dtype=uint8), array([[63]], dtype=uint8), array([[448]], dtype=uint16), array([[253]], dtype=uint8), array([[142]], dtype=uint8), array(['02120.jpg'], dtype='<U9'))"
2120,"(array([[143]], dtype=uint8), array([[114]], dtype=uint8), array([[546]], dtype=uint16), array([[374]], dtype=uint16), array([[68]], dtype=uint8), array(['02121.jpg'], dtype='<U9'))"
2121,"(array([[29]], dtype=uint8), array([[63]], dtype=uint8), array([[602]], dtype=uint16), array([[324]], dtype=uint16), array([[102]], dtype=uint8), array(['02122.jpg'], dtype='<U9'))"
2122,"(array([[74]], dtype=uint8), array([[88]], dtype=uint8), array([[517]], dtype=uint16), array([[354]], dtype=uint16), array([[137]], dtype=uint8), array(['02123.jpg'], dtype='<U9'))"
2123,"(array([[9]], dtype=uint8), array([[97]], dtype=uint8), array([[493]], dtype=uint16), array([[252]], dtype=uint8), array([[4]], dtype=uint8), array(['02124.jpg'], dtype='<U9'))"
2124,"(array([[21]], dtype=uint8), array([[77]], dtype=uint8), array([[622]], dtype=uint16), array([[466]], dtype=uint16), array([[74]], dtype=uint8), array(['02125.jpg'], dtype='<U9'))"
2125,"(array([[7]], dtype=uint8), array([[20]], dtype=uint8), array([[298]], dtype=uint16), array([[197]], dtype=uint8), array([[143]], dtype=uint8), array(['02126.jpg'], dtype='<U9'))"
2126,"(array([[31]], dtype=uint8), array([[98]], dtype=uint8), array([[380]], dtype=uint16), array([[226]], dtype=uint8), array([[38]], dtype=uint8), array(['02127.jpg'], dtype='<U9'))"
2127,"(array([[63]], dtype=uint8), array([[328]], dtype=uint16), array([[1223]], dtype=uint16), array([[755]], dtype=uint16), array([[134]], dtype=uint8), array(['02128.jpg'], dtype='<U9'))"
2128,"(array([[20]], dtype=uint8), array([[23]], dtype=uint8), array([[280]], dtype=uint16), array([[164]], dtype=uint8), array([[148]], dtype=uint8), array(['02129.jpg'], dtype='<U9'))"
2129,"(array([[42]], dtype=uint8), array([[89]], dtype=uint8), array([[588]], dtype=uint16), array([[377]], dtype=uint16), array([[19]], dtype=uint8), array(['02130.jpg'], dtype='<U9'))"
2130,"(array([[81]], dtype=uint8), array([[140]], dtype=uint8), array([[524]], dtype=uint16), array([[337]], dtype=uint16), array([[189]], dtype=uint8), array(['02131.jpg'], dtype='<U9'))"
2131,"(array([[26]], dtype=uint8), array([[290]], dtype=uint16), array([[996]], dtype=uint16), array([[610]], dtype=uint16), array([[91]], dtype=uint8), array(['02132.jpg'], dtype='<U9'))"
2132,"(array([[126]], dtype=uint8), array([[143]], dtype=uint8), array([[907]], dtype=uint16), array([[715]], dtype=uint16), array([[117]], dtype=uint8), array(['02133.jpg'], dtype='<U9'))"
2133,"(array([[147]], dtype=uint8), array([[149]], dtype=uint8), array([[905]], dtype=uint16), array([[654]], dtype=uint16), array([[57]], dtype=uint8), array(['02134.jpg'], dtype='<U9'))"
2134,"(array([[67]], dtype=uint8), array([[103]], dtype=uint8), array([[533]], dtype=uint16), array([[366]], dtype=uint16), array([[87]], dtype=uint8), array(['02135.jpg'], dtype='<U9'))"
2135,"(array([[128]], dtype=uint8), array([[33]], dtype=uint8), array([[515]], dtype=uint16), array([[309]], dtype=uint16), array([[131]], dtype=uint8), array(['02136.jpg'], dtype='<U9'))"
2136,"(array([[19]], dtype=uint8), array([[118]], dtype=uint8), array([[557]], dtype=uint16), array([[340]], dtype=uint16), array([[137]], dtype=uint8), array(['02137.jpg'], dtype='<U9'))"
2137,"(array([[20]], dtype=uint8), array([[272]], dtype=uint16), array([[982]], dtype=uint16), array([[633]], dtype=uint16), array([[164]], dtype=uint8), array(['02138.jpg'], dtype='<U9'))"
2138,"(array([[2]], dtype=uint8), array([[3]], dtype=uint8), array([[217]], dtype=uint8), array([[117]], dtype=uint8), array([[161]], dtype=uint8), array(['02139.jpg'], dtype='<U9'))"
2139,"(array([[35]], dtype=uint8), array([[176]], dtype=uint8), array([[492]], dtype=uint16), array([[480]], dtype=uint16), array([[61]], dtype=uint8), array(['02140.jpg'], dtype='<U9'))"
2140,"(array([[14]], dtype=uint8), array([[164]], dtype=uint8), array([[1011]], dtype=uint16), array([[615]], dtype=uint16), array([[103]], dtype=uint8), array(['02141.jpg'], dtype='<U9'))"
2141,"(array([[74]], dtype=uint8), array([[70]], dtype=uint8), array([[251]], dtype=uint8), array([[170]], dtype=uint8), array([[70]], dtype=uint8), array(['02142.jpg'], dtype='<U9'))"
2142,"(array([[8]], dtype=uint8), array([[76]], dtype=uint8), array([[3640]], dtype=uint16), array([[2675]], dtype=uint16), array([[172]], dtype=uint8), array(['02143.jpg'], dtype='<U9'))"
2143,"(array([[37]], dtype=uint8), array([[82]], dtype=uint8), array([[594]], dtype=uint16), array([[380]], dtype=uint16), array([[26]], dtype=uint8), array(['02144.jpg'], dtype='<U9'))"
2144,"(array([[112]], dtype=uint8), array([[7]], dtype=uint8), array([[853]], dtype=uint16), array([[717]], dtype=uint16), array([[1]], dtype=uint8), array(['02145.jpg'], dtype='<U9'))"
2145,"(array([[8]], dtype=uint8), array([[14]], dtype=uint8), array([[294]], dtype=uint16), array([[142]], dtype=uint8), array([[107]], dtype=uint8), array(['02146.jpg'], dtype='<U9'))"
2146,"(array([[74]], dtype=uint8), array([[114]], dtype=uint8), array([[585]], dtype=uint16), array([[432]], dtype=uint16), array([[178]], dtype=uint8), array(['02147.jpg'], dtype='<U9'))"
2147,"(array([[95]], dtype=uint8), array([[124]], dtype=uint8), array([[617]], dtype=uint16), array([[401]], dtype=uint16), array([[133]], dtype=uint8), array(['02148.jpg'], dtype='<U9'))"
2148,"(array([[57]], dtype=uint8), array([[107]], dtype=uint8), array([[611]], dtype=uint16), array([[421]], dtype=uint16), array([[48]], dtype=uint8), array(['02149.jpg'], dtype='<U9'))"
2149,"(array([[55]], dtype=uint8), array([[82]], dtype=uint8), array([[564]], dtype=uint16), array([[338]], dtype=uint16), array([[169]], dtype=uint8), array(['02150.jpg'], dtype='<U9'))"
2150,"(array([[206]], dtype=uint8), array([[135]], dtype=uint8), array([[1543]], dtype=uint16), array([[1076]], dtype=uint16), array([[149]], dtype=uint8), array(['02151.jpg'], dtype='<U9'))"
2151,"(array([[4]], dtype=uint8), array([[51]], dtype=uint8), array([[458]], dtype=uint16), array([[291]], dtype=uint16), array([[27]], dtype=uint8), array(['02152.jpg'], dtype='<U9'))"
2152,"(array([[208]], dtype=uint8), array([[47]], dtype=uint8), array([[483]], dtype=uint16), array([[364]], dtype=uint16), array([[166]], dtype=uint8), array(['02153.jpg'], dtype='<U9'))"
2153,"(array([[67]], dtype=uint8), array([[62]], dtype=uint8), array([[212]], dtype=uint8), array([[185]], dtype=uint8), array([[29]], dtype=uint8), array(['02154.jpg'], dtype='<U9'))"
2154,"(array([[86]], dtype=uint8), array([[38]], dtype=uint8), array([[197]], dtype=uint8), array([[151]], dtype=uint8), array([[45]], dtype=uint8), array(['02155.jpg'], dtype='<U9'))"
2155,"(array([[54]], dtype=uint8), array([[55]], dtype=uint8), array([[305]], dtype=uint16), array([[220]], dtype=uint8), array([[123]], dtype=uint8), array(['02156.jpg'], dtype='<U9'))"
2156,"(array([[156]], dtype=uint8), array([[175]], dtype=uint8), array([[484]], dtype=uint16), array([[332]], dtype=uint16), array([[118]], dtype=uint8), array(['02157.jpg'], dtype='<U9'))"
2157,"(array([[37]], dtype=uint8), array([[39]], dtype=uint8), array([[486]], dtype=uint16), array([[273]], dtype=uint16), array([[102]], dtype=uint8), array(['02158.jpg'], dtype='<U9'))"
2158,"(array([[56]], dtype=uint8), array([[200]], dtype=uint8), array([[514]], dtype=uint16), array([[396]], dtype=uint16), array([[144]], dtype=uint8), array(['02159.jpg'], dtype='<U9'))"
2159,"(array([[63]], dtype=uint8), array([[5]], dtype=uint8), array([[940]], dtype=uint16), array([[723]], dtype=uint16), array([[169]], dtype=uint8), array(['02160.jpg'], dtype='<U9'))"
2160,"(array([[49]], dtype=uint8), array([[38]], dtype=uint8), array([[575]], dtype=uint16), array([[447]], dtype=uint16), array([[149]], dtype=uint8), array(['02161.jpg'], dtype='<U9'))"
2161,"(array([[40]], dtype=uint8), array([[134]], dtype=uint8), array([[759]], dtype=uint16), array([[463]], dtype=uint16), array([[102]], dtype=uint8), array(['02162.jpg'], dtype='<U9'))"
2162,"(array([[104]], dtype=uint8), array([[325]], dtype=uint16), array([[1180]], dtype=uint16), array([[776]], dtype=uint16), array([[170]], dtype=uint8), array(['02163.jpg'], dtype='<U9'))"
2163,"(array([[108]], dtype=uint8), array([[49]], dtype=uint8), array([[600]], dtype=uint16), array([[327]], dtype=uint16), array([[31]], dtype=uint8), array(['02164.jpg'], dtype='<U9'))"
2164,"(array([[49]], dtype=uint8), array([[35]], dtype=uint8), array([[565]], dtype=uint16), array([[439]], dtype=uint16), array([[24]], dtype=uint8), array(['02165.jpg'], dtype='<U9'))"
2165,"(array([[23]], dtype=uint8), array([[113]], dtype=uint8), array([[617]], dtype=uint16), array([[367]], dtype=uint16), array([[117]], dtype=uint8), array(['02166.jpg'], dtype='<U9'))"
2166,"(array([[185]], dtype=uint8), array([[454]], dtype=uint16), array([[1947]], dtype=uint16), array([[1129]], dtype=uint16), array([[107]], dtype=uint8), array(['02167.jpg'], dtype='<U9'))"
2167,"(array([[54]], dtype=uint8), array([[246]], dtype=uint8), array([[678]], dtype=uint16), array([[553]], dtype=uint16), array([[101]], dtype=uint8), array(['02168.jpg'], dtype='<U9'))"
2168,"(array([[52]], dtype=uint8), array([[27]], dtype=uint8), array([[575]], dtype=uint16), array([[418]], dtype=uint16), array([[65]], dtype=uint8), array(['02169.jpg'], dtype='<U9'))"
2169,"(array([[12]], dtype=uint8), array([[6]], dtype=uint8), array([[314]], dtype=uint16), array([[202]], dtype=uint8), array([[114]], dtype=uint8), array(['02170.jpg'], dtype='<U9'))"
2170,"(array([[32]], dtype=uint8), array([[305]], dtype=uint16), array([[1595]], dtype=uint16), array([[981]], dtype=uint16), array([[18]], dtype=uint8), array(['02171.jpg'], dtype='<U9'))"
2171,"(array([[49]], dtype=uint8), array([[49]], dtype=uint8), array([[203]], dtype=uint8), array([[164]], dtype=uint8), array([[34]], dtype=uint8), array(['02172.jpg'], dtype='<U9'))"
2172,"(array([[184]], dtype=uint8), array([[284]], dtype=uint16), array([[840]], dtype=uint16), array([[696]], dtype=uint16), array([[105]], dtype=uint8), array(['02173.jpg'], dtype='<U9'))"
2173,"(array([[366]], dtype=uint16), array([[293]], dtype=uint16), array([[1817]], dtype=uint16), array([[1222]], dtype=uint16), array([[145]], dtype=uint8), array(['02174.jpg'], dtype='<U9'))"
2174,"(array([[12]], dtype=uint8), array([[58]], dtype=uint8), array([[297]], dtype=uint16), array([[192]], dtype=uint8), array([[44]], dtype=uint8), array(['02175.jpg'], dtype='<U9'))"
2175,"(array([[17]], dtype=uint8), array([[111]], dtype=uint8), array([[358]], dtype=uint16), array([[240]], dtype=uint8), array([[17]], dtype=uint8), array(['02176.jpg'], dtype='<U9'))"
2176,"(array([[22]], dtype=uint8), array([[30]], dtype=uint8), array([[625]], dtype=uint16), array([[531]], dtype=uint16), array([[101]], dtype=uint8), array(['02177.jpg'], dtype='<U9'))"
2177,"(array([[15]], dtype=uint8), array([[77]], dtype=uint8), array([[454]], dtype=uint16), array([[272]], dtype=uint16), array([[127]], dtype=uint8), array(['02178.jpg'], dtype='<U9'))"
2178,"(array([[103]], dtype=uint8), array([[180]], dtype=uint8), array([[587]], dtype=uint16), array([[434]], dtype=uint16), array([[120]], dtype=uint8), array(['02179.jpg'], dtype='<U9'))"
2179,"(array([[205]], dtype=uint8), array([[192]], dtype=uint8), array([[617]], dtype=uint16), array([[352]], dtype=uint16), array([[168]], dtype=uint8), array(['02180.jpg'], dtype='<U9'))"
2180,"(array([[31]], dtype=uint8), array([[74]], dtype=uint8), array([[549]], dtype=uint16), array([[384]], dtype=uint16), array([[48]], dtype=uint8), array(['02181.jpg'], dtype='<U9'))"
2181,"(array([[35]], dtype=uint8), array([[54]], dtype=uint8), array([[564]], dtype=uint16), array([[361]], dtype=uint16), array([[123]], dtype=uint8), array(['02182.jpg'], dtype='<U9'))"
2182,"(array([[28]], dtype=uint8), array([[2]], dtype=uint8), array([[608]], dtype=uint16), array([[423]], dtype=uint16), array([[195]], dtype=uint8), array(['02183.jpg'], dtype='<U9'))"
2183,"(array([[95]], dtype=uint8), array([[30]], dtype=uint8), array([[492]], dtype=uint16), array([[256]], dtype=uint16), array([[180]], dtype=uint8), array(['02184.jpg'], dtype='<U9'))"
2184,"(array([[47]], dtype=uint8), array([[208]], dtype=uint8), array([[997]], dtype=uint16), array([[667]], dtype=uint16), array([[20]], dtype=uint8), array(['02185.jpg'], dtype='<U9'))"
2185,"(array([[56]], dtype=uint8), array([[67]], dtype=uint8), array([[420]], dtype=uint16), array([[284]], dtype=uint16), array([[178]], dtype=uint8), array(['02186.jpg'], dtype='<U9'))"
2186,"(array([[28]], dtype=uint8), array([[8]], dtype=uint8), array([[183]], dtype=uint8), array([[138]], dtype=uint8), array([[143]], dtype=uint8), array(['02187.jpg'], dtype='<U9'))"
2187,"(array([[58]], dtype=uint8), array([[1]], dtype=uint8), array([[582]], dtype=uint16), array([[373]], dtype=uint16), array([[30]], dtype=uint8), array(['02188.jpg'], dtype='<U9'))"
2188,"(array([[36]], dtype=uint8), array([[331]], dtype=uint16), array([[857]], dtype=uint16), array([[692]], dtype=uint16), array([[163]], dtype=uint8), array(['02189.jpg'], dtype='<U9'))"
2189,"(array([[10]], dtype=uint8), array([[67]], dtype=uint8), array([[575]], dtype=uint16), array([[302]], dtype=uint16), array([[172]], dtype=uint8), array(['02190.jpg'], dtype='<U9'))"
2190,"(array([[1]], dtype=uint8), array([[28]], dtype=uint8), array([[272]], dtype=uint16), array([[157]], dtype=uint8), array([[156]], dtype=uint8), array(['02191.jpg'], dtype='<U9'))"
2191,"(array([[61]], dtype=uint8), array([[45]], dtype=uint8), array([[752]], dtype=uint16), array([[502]], dtype=uint16), array([[145]], dtype=uint8), array(['02192.jpg'], dtype='<U9'))"
2192,"(array([[52]], dtype=uint8), array([[42]], dtype=uint8), array([[504]], dtype=uint16), array([[315]], dtype=uint16), array([[174]], dtype=uint8), array(['02193.jpg'], dtype='<U9'))"
2193,"(array([[80]], dtype=uint8), array([[155]], dtype=uint8), array([[471]], dtype=uint16), array([[320]], dtype=uint16), array([[9]], dtype=uint8), array(['02194.jpg'], dtype='<U9'))"
2194,"(array([[61]], dtype=uint8), array([[130]], dtype=uint8), array([[738]], dtype=uint16), array([[481]], dtype=uint16), array([[34]], dtype=uint8), array(['02195.jpg'], dtype='<U9'))"
2195,"(array([[62]], dtype=uint8), array([[210]], dtype=uint8), array([[673]], dtype=uint16), array([[475]], dtype=uint16), array([[122]], dtype=uint8), array(['02196.jpg'], dtype='<U9'))"
2196,"(array([[180]], dtype=uint8), array([[78]], dtype=uint8), array([[600]], dtype=uint16), array([[402]], dtype=uint16), array([[158]], dtype=uint8), array(['02197.jpg'], dtype='<U9'))"
2197,"(array([[100]], dtype=uint8), array([[86]], dtype=uint8), array([[304]], dtype=uint16), array([[276]], dtype=uint16), array([[181]], dtype=uint8), array(['02198.jpg'], dtype='<U9'))"
2198,"(array([[4]], dtype=uint8), array([[56]], dtype=uint8), array([[395]], dtype=uint16), array([[229]], dtype=uint8), array([[104]], dtype=uint8), array(['02199.jpg'], dtype='<U9'))"
2199,"(array([[70]], dtype=uint8), array([[117]], dtype=uint8), array([[461]], dtype=uint16), array([[330]], dtype=uint16), array([[60]], dtype=uint8), array(['02200.jpg'], dtype='<U9'))"
2200,"(array([[91]], dtype=uint8), array([[107]], dtype=uint8), array([[937]], dtype=uint16), array([[561]], dtype=uint16), array([[160]], dtype=uint8), array(['02201.jpg'], dtype='<U9'))"
2201,"(array([[295]], dtype=uint16), array([[120]], dtype=uint8), array([[1199]], dtype=uint16), array([[519]], dtype=uint16), array([[152]], dtype=uint8), array(['02202.jpg'], dtype='<U9'))"
2202,"(array([[114]], dtype=uint8), array([[86]], dtype=uint8), array([[406]], dtype=uint16), array([[288]], dtype=uint16), array([[66]], dtype=uint8), array(['02203.jpg'], dtype='<U9'))"
2203,"(array([[168]], dtype=uint8), array([[93]], dtype=uint8), array([[1131]], dtype=uint16), array([[699]], dtype=uint16), array([[173]], dtype=uint8), array(['02204.jpg'], dtype='<U9'))"
2204,"(array([[35]], dtype=uint8), array([[74]], dtype=uint8), array([[611]], dtype=uint16), array([[409]], dtype=uint16), array([[68]], dtype=uint8), array(['02205.jpg'], dtype='<U9'))"
2205,"(array([[61]], dtype=uint8), array([[82]], dtype=uint8), array([[948]], dtype=uint16), array([[673]], dtype=uint16), array([[132]], dtype=uint8), array(['02206.jpg'], dtype='<U9'))"
2206,"(array([[18]], dtype=uint8), array([[23]], dtype=uint8), array([[639]], dtype=uint16), array([[387]], dtype=uint16), array([[73]], dtype=uint8), array(['02207.jpg'], dtype='<U9'))"
2207,"(array([[46]], dtype=uint8), array([[43]], dtype=uint8), array([[473]], dtype=uint16), array([[375]], dtype=uint16), array([[179]], dtype=uint8), array(['02208.jpg'], dtype='<U9'))"
2208,"(array([[25]], dtype=uint8), array([[76]], dtype=uint8), array([[563]], dtype=uint16), array([[312]], dtype=uint16), array([[53]], dtype=uint8), array(['02209.jpg'], dtype='<U9'))"
2209,"(array([[24]], dtype=uint8), array([[77]], dtype=uint8), array([[267]], dtype=uint16), array([[186]], dtype=uint8), array([[156]], dtype=uint8), array(['02210.jpg'], dtype='<U9'))"
2210,"(array([[41]], dtype=uint8), array([[135]], dtype=uint8), array([[365]], dtype=uint16), array([[300]], dtype=uint16), array([[116]], dtype=uint8), array(['02211.jpg'], dtype='<U9'))"
2211,"(array([[45]], dtype=uint8), array([[116]], dtype=uint8), array([[547]], dtype=uint16), array([[393]], dtype=uint16), array([[74]], dtype=uint8), array(['02212.jpg'], dtype='<U9'))"
2212,"(array([[501]], dtype=uint16), array([[443]], dtype=uint16), array([[1088]], dtype=uint16), array([[706]], dtype=uint16), array([[137]], dtype=uint8), array(['02213.jpg'], dtype='<U9'))"
